Name,FoodGroup,Protein,Fat,Carbohydrates,Calories,Sugar,Calcium,Potasssium,VitaminA,VitaminC,Folate,img
Pumpkin,Vegetable,1,0.1,6.5,26,2.76,21,340,8513,9,16,https://images.unsplash.com/photo-1443464812268-44d8bb5f2df5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1502&q=80
Radishes,Vegetable,0.68,0.1,3.4,16,1.86,25,233,7,14.8,25,https://images.unsplash.com/photo-1549394907-d3bc010c2fd6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=2734&q=80
Rutabagas,Vegetable,1.08,0.16,8.62,37,4.46,43,305,2,25,21,"https://cdn.apartmenttherapy.info/image/fetch/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_1:1/https%3A%2F%2Fstorage.googleapis.com%2Fgen-atmedia%2F3%2F2013%2F01%2F1f5f82fa5390ab1e41e5a753cc129b5a3bd3d54d.jpeg"
Spinach,Vegetable,2.86,0.39,3.63,23,0.42,99,558,9377,28.1,194,https://images.unsplash.com/photo-1515363578674-99f41329ab4c?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1494&q=80
Taro,Vegetable,1.5,0.2,26.46,112,0.4,43,591,76,4.5,22,https://www.belmarrahealth.com/wp-content/uploads/2018/11/taro-root-500x400.jpg
Tomatoes,Vegetable,0.88,0.2,3.89,18,2.63,10,237,833,13.7,15,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Tomato_je.jpg/1442px-Tomato_je.jpg
Turnips,Vegetable,0.9,0.1,6.43,28,3.8,30,191,0,21,15,https://images.unsplash.com/photo-1506807803488-8eafc15316c7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1267&q=80
Watercress,Vegetable,2.3,0.1,1.29,11,0.2,120,330,3191,43,9,https://cdn-prod.medicalnewstoday.com/content/images/articles/285/285412/watercress1.jpg
Tomatillos,Vegetable,0.96,1.02,5.84,32,3.93,7,268,114,11.7,7,https://upload.wikimedia.org/wikipedia/commons/0/02/Tomatillo_%285201031026%29.jpg
Arugula,Vegetable,2.58,0.66,3.65,25,2.05,160,369,2373,15,97,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Arugula_for_sale.jpg/1600px-Arugula_for_sale.jpg
Baby Carrots,Vegetable,0.64,0.13,8.24,35,4.76,32,237,13790,2.6,27,https://upload.wikimedia.org/wikipedia/commons/0/00/Baby_Carrots_2.jpg
